Date,Open,High,Low,Close,Volume,Adj Close
2016-11-01,10724.139648,10730.480469,10506.389648,10526.160156,151285600,10526.160156
2016-10-04,10492.969727,10827.719727,10349.05957,10665.009766,93379200,10665.009766
2016-09-01,10622.330078,10780.419922,10189.94043,10511.019531,104276600,10511.019531
2016-08-01,10426.360352,10802.320312,10092.530273,10592.69043,72290700,10592.69043
2016-07-01,9742.839844,10381.900391,9304.009766,10337.50,82417000,10337.50
2016-06-01,10242.780273,10340.839844,9214.099609,9680.089844,113646900,9680.089844
2016-05-02,10091.169922,10365.240234,9737.00,10262.740234,74582400,10262.740234
2016-04-01,9833.259766,10474.379883,9484.75,10038.969727,90786500,10038.969727
2016-03-01,9482.660156,10112.169922,9471.089844,9965.509766,100978400,9965.509766
2016-02-01,9823.730469,9827.099609,8699.290039,9495.400391,109638800,9495.400391
2016-01-04,10485.80957,10485.910156,9314.570312,9798.110352,114012500,9798.110352
2015-12-01,11422.469727,11430.379883,10122.950195,10743.009766,90957300,10743.009766
2015-11-02,10749.980469,11430.870117,10607.459961,11382.230469,72405200,11382.230469
2015-10-01,9757.040039,10886.980469,9396.339844,10850.139648,72161900,10850.139648
2015-09-01,10073.740234,10512.610352,9325.049805,9660.44043,118686800,9660.44043
2015-08-03,11295.50,11669.860352,9338.200195,10259.459961,100309800,10259.459961
2015-07-01,11050.320312,11802.370117,10652.790039,11308.990234,73409800,11308.990234
2015-06-01,11462.969727,11635.849609,10797.849609,10944.969727,95535700,10944.969727
2015-05-04,11506.839844,11920.30957,11167.549805,11413.820312,97197200,11413.820312
2015-04-01,11902.919922,12390.75,11331.370117,11454.379883,93858900,11454.379883
2015-03-02,11408.280273,12219.049805,11193.299805,11966.169922,77078500,11966.169922
2015-02-02,10719.179688,11401.660156,10594.320312,11401.660156,61329300,11401.660156
2015-01-02,9869.129883,10810.570312,9382.820312,10694.320312,54363500,10694.320312
2014-12-01,9915.740234,10093.030273,9219.049805,9805.549805,85359500,9805.549805
2014-11-03,9305.730469,9992.669922,9148.780273,9980.849609,96914700,9980.849609
2014-10-01,9454.040039,9520.969727,8354.969727,9326.870117,125226300,9326.870117
2014-09-01,9484.530273,9891.200195,9369.620117,9474.299805,82174400,9474.299805
2014-08-01,9379.740234,9600.849609,8903.490234,9470.169922,83660600,9470.169922
2014-07-01,9853.740234,10032.280273,9395.349609,9407.480469,80128400,9407.480469
2014-06-02,9986.860352,10050.980469,9749.75,9833.070312,84792000,9833.070312
2014-05-02,9611.790039,9970.769531,9407.089844,9943.269531,89259400,9943.269531
2014-04-01,9601.959961,9721.50,9166.530273,9603.230469,84699800,9603.230469
2014-03-03,9553.080078,9634.820312,8913.269531,9555.910156,100214300,9555.910156
2014-02-03,9318.769531,9720.660156,9071.25,9692.080078,88843000,9692.080078
2014-01-02,9598.25,9794.049805,9166.049805,9306.480469,102526800,9306.480469
2013-12-02,9412.950195,9594.349609,8984.280273,9552.160156,81985900,9552.160156
2013-11-01,9032.290039,9424.620117,8962.419922,9405.299805,83251200,9405.299805
2013-10-01,8618.589844,9070.169922,8489.620117,9033.919922,88018100,9033.919922
2013-09-02,8224.339844,8770.099609,8095.910156,8594.400391,99406200,8594.400391
2013-08-01,8320.379883,8457.049805,8094.220215,8103.149902,38168100,8103.149902
2013-07-01,8000.02002,8415.330078,7730.370117,8275.969727,42940700,8275.969727
2013-06-03,8291.490234,8395.55957,7655.830078,7959.220215,35427500,7959.220215
2013-05-01,7913.709961,8557.860352,7896.990234,8348.839844,32045000,8348.839844
2013-04-01,7795.310059,7965.899902,7418.359863,7913.709961,33293700,7913.709961
2013-03-01,7735.350098,8074.470215,7627.990234,7795.310059,33781700,7795.310059
2013-02-01,7792.589844,7860.569824,7537.290039,7741.700195,31479100,7741.700195
2013-01-02,7689.459961,7871.790039,7634.259766,7776.049805,27973700,7776.049805
2012-12-03,7427.410156,7682.899902,7417.299805,7612.390137,22204300,7612.390137
2012-11-01,7255.299805,7442.600098,6950.529785,7405.50,28330400,7405.50
2012-10-01,7227.810059,7447.810059,7120.680176,7260.629883,28353000,7260.629883
2012-09-03,6946.609863,7478.529785,6892.859863,7216.149902,35468300,7216.149902
2012-08-01,6775.990234,7105.430176,6596.209961,6970.790039,25710000,6970.790039
2012-07-02,6405.390137,6835.189941,6324.529785,6772.259766,30538700,6772.259766
2012-06-01,6259.759766,6427.490234,5914.430176,6416.279785,32285600,6416.279785
2012-05-02,6861.299805,6875.870117,6208.089844,6264.379883,30608000,6264.379883
2012-04-02,6973.990234,7081.060059,6499.069824,6761.189941,36847100,6761.189941
2012-03-01,6831.970215,7194.330078,6612.609863,6946.830078,37107900,6946.830078
2012-02-01,6482.950195,6971.029785,6482.560059,6856.080078,32646300,6856.080078
2012-01-03,6124.109863,6574.189941,5987.75,6458.910156,34220300,6458.910156
2011-12-01,6080.47998,6170.040039,5637.529785,5898.350098,28811600,5898.350098
2011-11-01,5934.540039,6193.339844,5366.50,6088.839844,35299400,6088.839844
2011-10-03,5311.930176,6430.600098,5125.439941,6141.339844,36821100,6141.339844
2011-09-01,5793.100098,5794.50,4965.799805,5502.02002,40304900,5502.02002
2011-08-01,7254.50,7282.009766,5345.359863,5784.850098,53146100,5784.850098
